customer_id,email,first_name,last_name,street_address,city,state,zip_code,country,phone,registration_date,last_login
1,james.benton1@example.com,James,Benton,3007 Pacheco Green,Fletcherburgh,OH,29738,US,555-0001,2024-06-23T09:37:37,2026-01-24T21:12:02
2,robert.randall2@example.com,Robert,Randall,1926 Kennedy Knoll Apt. 461,East Gina,PR,64123,US,555-0002,2024-04-22T22:06:26,2025-02-10T22:30:53
3,cory.morales3@example.com,Cory,Morales,4844 Erica Gateway Apt. 565,Halestad,AR,97034,US,555-0003,2025-12-25T20:32:15,2026-02-09T10:29:16
4,michael.lang4@example.com,Michael,Lang,83235 Bobby Pass,Theresatown,HI,01011,US,555-0004,2026-06-09T07:17:35,2026-06-21T02:24:30
5,robert.sloan5@example.com,Robert,Sloan,318 Louis Park,South Christopherstad,IL,77108,US,555-0005,2025-08-17T20:46:20,2025-08-22T02:13:46
6,caroline.hall6@example.com,Caroline,Hall,3725 Brian Garden Apt. 195,South Clairestad,AS,27389,US,555-0006,2022-07-29T21:43:38,2024-05-25T22:24:07
7,christopher.brown7@example.com,Christopher,Brown,99986 Lam Squares,New Andrewberg,PR,31434,US,555-0007,2024-04-30T16:19:10,2026-02-26T13:20:34
8,tyler.holland8@example.com,Tyler,Holland,01367 Watts Extensions Suite 176,Martinmouth,HI,27540,US,555-0008,2025-12-24T19:49:53,2026-06-16T12:49:21
9,mason.davies9@example.com,Mason,Davies,497 Dean Run,Jonathanport,AZ,07222,US,555-0009,2021-08-11T13:15:33,2023-04-14T11:32:21
10,steven.christian10@example.com,Steven,Christian,993 Tracy Mountains,West Melissa,AZ,83633,US,555-0010,2024-08-22T16:22:00,2025-10-31T04:09:42
11,laura.steele11@example.com,Laura,Steele,62447 Heather Port Suite 711,South Paulbury,VT,61567,US,555-0011,2021-09-08T02:10:10,2022-10-11T08:55:27
12,phillip.henry12@example.com,Phillip,Henry,3007 Pacheco Green,Bradfordview,KS,19502,US,555-0012,2025-05-14T23:54:55,2025-12-31T05:54:16
13,todd.franco13@example.com,Todd,Franco,862 Carol Heights Suite 169,Isabellaland,WI,42549,US,555-0013,2026-05-09T02:48:48,2026-05-22T07:07:30
14,madison.chavez14@example.com,Madison,Chavez,80214 Martinez Mill,East Nicholas,OK,29391,US,555-0014,2026-01-23T01:16:57,2026-04-23T07:08:01
15,amber.baker15@example.com,Amber,Baker,11581 Monroe Forest Apt. 539,Lake Karen,PR,38958,US,555-0015,2023-03-29T04:56:43,2023-10-19T08:21:30
16,michael.hart16@example.com,Michael,Hart,633 Hunter Canyon Suite 119,North Teresa,MO,40586,US,555-0016,2024-11-27T19:04:18,2026-05-26T23:04:40
17,mark.brandt17@example.com,Mark,Brandt,7423 Yang Terrace,Jasonview,TN,98028,US,555-0017,2026-05-12T11:46:00,2026-06-24T12:20:44
18,christopher.jones18@example.com,Christopher,Jones,92602 French Viaduct Apt. 186,South James,IN,46686,US,555-0018,2022-07-24T16:37:50,2023-11-20T14:39:50
19,helen.thompson19@example.com,Helen,Thompson,42576 Steven Shoals,West Jordanborough,DE,20100,US,555-0019,2026-03-03T03:41:41,2026-06-03T10:58:27
20,jonathan.walter20@example.com,Jonathan,Walter,506 Brittany Valleys Suite 806,Lake Lindsay,KY,91821,US,555-0020,2022-12-02T04:00:50,2023-04-05T21:06:43
21,john.berry21@example.com,John,Berry,82484 Meyer Trail,Port Shawna,MA,08621,US,555-0021,2026-06-26T01:06:39,2026-06-28T23:21:47
22,tiffany.butler22@example.com,Tiffany,Butler,64776 Lori Village Apt. 032,East Michael,PW,46064,US,555-0022,2023-11-02T04:44:26,2024-08-02T09:49:44
23,michael.freeman23@example.com,Michael,Freeman,6382 Leach Prairie,Mckayfort,AS,24244,US,555-0023,2026-06-27T00:34:02,2026-06-27T10:15:23
24,robert.austin24@example.com,Robert,Austin,999 Garcia Glens Suite 498,Mckeeland,PW,64325,US,555-0024,2024-07-20T00:14:16,2025-11-13T12:27:17
25,jonathan.payne25@example.com,Jonathan,Payne,603 Francis Key Suite 333,New Ryanfurt,CT,28895,US,555-0025,2025-10-24T01:35:02,2026-02-18T00:24:19
26,john.levine26@example.com,John,Levine,215 Elizabeth Trail Suite 763,Michaelland,OK,49186,US,555-0026,2022-05-02T15:37:37,2024-07-16T02:50:06
27,terri.mendez27@example.com,Terri,Mendez,8925 Eric Spring,North Guyberg,KY,60137,US,555-0027,2025-07-31T01:40:57,2026-01-20T21:22:24
